,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
59,60,2.7999994927085937e-07,1.3839999883202837e-05,1.1660000018309801e-05,0.00016387999967264476,1.229999979841523e-05,0.00010294000021531247,0.00022943999974813777,0.00018314000008103903
60,61,2.4000000848900526e-07,1.2799999967683107e-05,1.1340000128257088e-05,0.00017187999983434566,1.2340000102994963e-05,0.00010392000003776048,0.0002361800001381198,0.0002267800002300646
61,62,3.9999977161642166e-07,1.914000022225082e-05,1.1860000086016953e-05,0.00017502000009699258,1.2659999993047676e-05,0.0001152400000137277,0.000248220000139554,0.00019831999998132233
62,63,2.4000000848900526e-07,1.3039999976172112e-05,1.1359999916749075e-05,0.00017189999998663553,1.2539999806904234e-05,0.00012960000021848827,0.00025765999998839106,0.00019145999976899475
63,64,2.4000000848900526e-07,1.401999979862012e-05,1.1500000255182385e-05,0.00017774000007193537,1.3020000187680125e-05,0.0001203799998620525,0.00026671999985410365,0.00019758000016736332
64,65,2.600001607788727e-07,1.311999985773582e-05,1.187999987450894e-05,0.0001760000002832385,3.1400000079884197e-05,0.00013340000004973261,0.00027926000002480577,0.00020131999990553596
65,66,3.2000025385059416e-07,1.574000016262289e-05,1.173999989987351e-05,0.00018388000025879592,1.3480000052368269e-05,0.00013171999999030958,0.0002736200000072131,0.00020358000001579056
66,67,2.4000000848900526e-07,1.3440000111586415e-05,1.663999973970931e-05,0.00018314000008103903,1.3539999781642108e-05,0.00013311999973666388,0.00028205999988131227,0.00020766000016010367
67,68,2.4000000848900526e-07,1.326000019616913e-05,1.1539999832166359e-05,0.0001873400000476977,1.3760000001639128e-05,0.00014396000005945098,0.00031923999995342456,0.000211699999999837
68,69,2.4000000848900526e-07,1.3580000086221844e-05,1.1679999806801788e-05,0.0002132599998731166,1.4039999950909986e-05,0.00013332000016816892,0.00029756000003544614,0.00021564000016951467
69,70,2.4000000848900526e-07,1.3319999925442972e-05,1.179999999294523e-05,0.00019178000002284534,1.3780000153928995e-05,0.00014073999991524034,0.0003048399998078821,0.00023183999983302783
70,71,2.600001607788727e-07,1.3340000077732838e-05,1.173999989987351e-05,0.00019463999997242353,1.4580000060959719e-05,0.00014497999982268083,0.00031125999994401353,0.00023814000014681368
71,72,2.4000000848900526e-07,1.3319999925442972e-05,1.173999989987351e-05,0.00019625999993877485,1.4500000179396012e-05,0.00014617999986512586,0.00032271999989461617,0.0002380799996899441
72,73,2.4000000848900526e-07,1.326000019616913e-05,1.1920000179088675e-05,0.0002047000001766719,1.4739999824087135e-05,0.00014259999989008065,0.0003444999998464482,0.00024412000020674897
73,74,2.4000000848900526e-07,1.3680000120075419e-05,1.2019999849144369e-05,0.00020442000022740102,1.486000001023058e-05,0.0001651599999604514,0.00034801999972842166,0.00026820000020961744
74,75,3.1999989005271343e-07,1.9020000036107376e-05,1.2580000111483969e-05,0.00021097999997437,1.6640000103507192e-05,0.0001586200000019744,0.00035607999998319426,0.00025373999997100325
75,76,2.7999994927085937e-07,1.5919999714242295e-05,1.2259999857633375e-05,0.00021052000010968186,1.5419999908772297e-05,0.0001684200000454439,0.0003460399999312358,0.00025758000010682735
76,77,3.0000010156072674e-07,1.5999999959603883e-05,1.2760000026901253e-05,0.0002136799997970229,1.5340000027208588e-05,0.00017072000009648035,0.00037288000021362677,0.00026729999990493525
77,78,3.7999998312443497e-07,1.8179999824496917e-05,1.2680000145337544e-05,0.00021933999996690546,1.604000026418362e-05,0.00016990000003715977,0.00038042000014684165,0.0002671999998710817
78,79,2.9999973776284606e-07,1.6740000137360767e-05,1.2480000077630393e-05,0.00021835999978065957,1.5980000171111897e-05,0.0001678200002061203,0.0003880399999616202,0.0002735000001848675
79,80,3.1999989005271343e-07,1.6880000111996195e-05,1.2680000145337544e-05,0.00022228000016184525,1.602000011189375e-05,0.00018380000001343432,0.00039271999994525684,0.00027739999968616756
80,81,2.1999985619913786e-07,1.396000006934628e-05,1.2140000035287812e-05,0.00022649999991699587,1.6099999993457458e-05,0.00019174000008206348,0.00040283999987877905,0.0002813799997966271
