,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
116,117,6.199999916134402e-07,2.2540000281878746e-05,2.1220000417088158e-05,0.000390720000359579,2.677999982552137e-05,0.0018363399998634123,0.00018344000018259975,0.00038635999990219714
117,118,6.399997801054269e-07,2.3159999909694306e-05,2.3319999672821724e-05,0.000347140000667423,2.3739999960525893e-05,0.0019038200000068173,0.00020176000070932788,0.00041550000023562463
118,119,7.199992978712544e-07,2.3579999469802716e-05,2.03800002054777e-05,0.00037723999957961496,2.3580000561196358e-05,0.0019345000000612345,0.00021610000003420283,0.00040178000017476734
119,120,6.999991455813869e-07,2.147999985027127e-05,1.9800000154646112e-05,0.00039127999953052494,2.449999956297688e-05,0.001978380000218749,0.00019272000026830937,0.00039835999996284954
120,121,6.60000296193175e-07,2.2259999605012125e-05,2.037999984167982e-05,0.0003949000001739478,2.5859999732347204e-05,0.001973559999896679,0.00021194000000832603,0.00041430000055697747
121,122,6.399997801054269e-07,3.119999964837916e-05,2.2840000019641594e-05,0.00039453999997931535,2.49400003667688e-05,0.0020235399999364743,0.00020757999955094418,0.00041786000001593494
122,123,7.799993909429759e-07,2.243999952042941e-05,2.1699999706470408e-05,0.0003977399999712361,2.5640000239945947e-05,0.0020431199998711238,0.00022195999990799465,0.00042412000038893893
123,124,6.199999916134402e-07,2.0059999587829225e-05,2.6000000070780514e-05,0.00040853999998944344,2.5120000282186082e-05,0.002061659999526455,0.0002135000002454035,0.00044040000029781367
124,125,7.199996616691351e-07,2.294000005349517e-05,1.8600000112201086e-05,0.0004054199998790864,2.3460000375052913e-05,0.0020964000003004914,0.00021055999968666583,0.0003930800001398893
125,126,6.399997801054269e-07,2.1500000366359016e-05,2.064000000245869e-05,0.00041376000008312984,2.553999911469873e-05,0.0021503799995116423,0.000218239999958314,0.0004466999998840038
126,127,6.600006599910557e-07,2.3199999850476162e-05,2.0339999900897963e-05,0.0004429000000527594,2.569999996921979e-05,0.002260239999668556,0.0002084400002786424,0.0004489000006287824
127,128,8.000002708286047e-07,2.2980000358074905e-05,2.0680000307038427e-05,0.0004404199993587099,2.596000012999866e-05,0.0022193199998582712,0.000212199999805307,0.0003873800003930228
128,129,6.599995685974136e-07,2.2459999672719278e-05,2.106000029016286e-05,0.00042030000040540474,2.6679999791667797e-05,0.002331880000201636,0.00023021999950287864,0.0004010399996332126
129,130,8.399998478125781e-07,2.3320000400417486e-05,2.106000029016286e-05,0.0004225200002110796,2.6599999910104088e-05,0.0022667399996862516,0.00024225999950431288,0.0003812400002061622
130,131,6.399997801054269e-07,2.3119999968912453e-05,2.272000019729603e-05,0.00043001999983971473,2.921999985119328e-05,0.002318679999007145,0.00023908000002847984,0.00037826000007044056
131,132,6.400001439033076e-07,2.5940000341506675e-05,2.1660000129486434e-05,0.0004283199999917997,2.65800001216121e-05,0.002341100000194274,0.00022285999984887893,0.0004071999996085651
132,133,6.599999323952943e-07,2.279999971506186e-05,2.222000002802815e-05,0.0004274200000509154,2.7219999537919648e-05,0.002274560000296333,0.00022677999986626675,0.00037842000056116377
133,134,7.599999662488699e-07,2.1159999596420677e-05,1.933999992616009e-05,0.00042614000012690666,2.469999926688615e-05,0.002372059999834164,0.00024129999947035684,0.0004058799997437745
134,135,6.599999323952943e-07,2.364000065426808e-05,2.4280000070575623e-05,0.0004193400000076508,2.6499999876250513e-05,0.0023918199996842303,0.00022511999995913356,0.00040123999933712186
135,136,5.800000508315862e-07,2.567999981692992e-05,2.153999921574723e-05,0.00044796000001952053,2.7299999783281236e-05,0.0024803000000247267,0.00023867999989306553,0.00041784000022744295
136,137,6.599999323952943e-07,2.3499999952036887e-05,2.148000057786703e-05,0.0004250599999068072,2.528000040911138e-05,0.0025324599999294152,0.00020984000038879458,0.00040689999987080226
137,138,6.800004484830424e-07,2.314000012120232e-05,2.3240000518853777e-05,0.0004499400001805043,2.78199997410411e-05,0.0025724200000695418,0.00024044000019785017,0.0004215599998133257
138,139,6.999998731771484e-07,2.5439999808440918e-05,2.1180000112508422e-05,0.00048015999964263757,2.7319999571773223e-05,0.0025349199997435788,0.00024339999981748406,0.0004273400001693517
139,140,7.199996616691351e-07,2.3839999994379468e-05,2.1660000129486434e-05,0.00043918000046687665,2.817999993567355e-05,0.002695000000312575,0.00025952000032702927,0.0004225399996357737
140,141,6.400001439033076e-07,2.4459999985992907e-05,2.2560000434168615e-05,0.00045683999996981584,2.611999989312608e-05,0.002632660000017495,0.00023882000023149884,0.00043699999951059
141,142,5.600002623395995e-07,2.3180000061984175e-05,2.5040000036824494e-05,0.0004630000006727641,2.8620000011869707e-05,0.002608499999769265,0.0002539999994041864,0.0004473000000871252
142,143,6.599999323952943e-07,2.3320000400417486e-05,2.1460000789375043e-05,0.0004678799996327143,2.892000011343043e-05,0.00272240000012971,0.0002357000001211418,0.0004329199997300748
143,144,6.399994163075462e-07,2.1999999808031136e-05,1.953999999386724e-05,0.0004654999997001141,2.6580000485409984e-05,0.002774320000389707,0.0002448200000799261,0.0004339999999501742
144,145,7.200000254670158e-07,2.336000034119934e-05,2.1399999968707562e-05,0.0004761000000144122,2.907999987655785e-05,0.0027490999997098696,0.00026037999959953594,0.00044727999993483537
145,146,7.000002369750291e-07,2.4200000916607677e-05,2.139999960490968e-05,0.00047402000018337276,3.0120000155875458e-05,0.002892059999794583,0.00026590000015858095,0.00045927999963168986
146,147,6.199999916134402e-07,3.34599993948359e-05,2.2420000095735305e-05,0.00043252000032225626,2.8899999961140566e-05,0.0028673600005276966,0.00025663999949756546,0.00046034000006329735
147,148,7.200000254670158e-07,2.3580000197398475e-05,2.162000055250246e-05,0.0004839799999899697,3.2060000012279485e-05,0.002988600000026054,0.00025833999970927837,0.00047038000011525585
148,149,6.599999323952943e-07,2.4720000146771783e-05,2.1699999706470408e-05,0.00048790000000735744,2.9799999538226984e-05,0.002978860000075656,0.000254539999878034,0.0004671599999710452
149,150,7.799997547408566e-07,2.6400000206194817e-05,2.1519999791053124e-05,0.0004904400000668829,3.208000052836724e-05,0.0029893399998400126,0.00024273999952129088,0.00047028000008140223
150,151,5.999998393235729e-07,2.325999957975e-05,2.2959999841987156e-05,0.000509980000424548,3.0300000071292742e-05,0.003003240000907681,0.0002588600000308361,0.0004682999999204185
