,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
55,55,56,6.000002031214535e-07,9.999996109399944e-07,3.440000000409782e-06,0.00016047999997681472,1.2259999857633375e-05,0.00043339999974705283,8.423999970545993e-05,0.00014977999999246094
56,56,57,6.400001439033075e-07,9.999996109399944e-07,3.5800003388430923e-06,0.00016352000020560808,1.2080000306013972e-05,0.000453140000172425,8.34399997984292e-05,0.00015822000023035798
57,57,58,7.599999662488698e-07,1.0200004908256232e-06,3.540000761859119e-06,0.0001840400003857212,1.2560000322991982e-05,0.00045322000005398877,8.965999986685347e-05,0.00016975999969872643
58,58,59,6.599999323952943e-07,1.0399999155197293e-06,3.540000761859119e-06,0.00018743999935395548,1.2580000111483967e-05,0.0004911599997285519,9.481999986746816e-05,0.0001692399997409666
59,59,60,7.000002369750291e-07,1.0399991879239678e-06,3.71999922208488e-06,0.00019380000012461096,1.311999985773582e-05,0.0004971199996361975,9.323999984189868e-05,0.00016860000032465906
60,60,61,6.999995093792677e-07,1.1000010999850929e-06,3.7000019801780583e-06,0.00019315999961690977,1.2799999967683107e-05,0.0004883200002950616,9.10999999177875e-05,0.0001799199995730305
61,61,62,6.799997208872811e-07,1.0800009476952256e-06,3.879998985212296e-06,0.00017693999943730888,1.3559999933931975e-05,0.0005416600000899052,9.391999956278596e-05,0.00018292000022483986
62,62,63,6.800004484830424e-07,1.0000003385357559e-06,3.879998985212296e-06,0.00020294000023568515,1.3499999477062375e-05,0.0005407599997852232,9.430000027350617e-05,0.00017822000008891334
63,63,64,6.399997801054269e-07,1.09999964479357e-06,4.000000626547262e-06,0.0002053600004728651,1.3720000060857272e-05,0.0005456200000480748,0.00010048000003735071,0.00015872000003582795
64,64,65,6.400001439033075e-07,1.0399999155197293e-06,3.8200007111299785e-06,0.00020758000027853998,1.3979999857838266e-05,0.00057098000033875,9.800000007089693e-05,0.00016511999929207376
65,65,66,5.800004146294668e-07,1.0399999155197293e-06,4.040000931126997e-06,0.00020977999993192494,1.6660000255797062e-05,0.0005791599996882724,0.000101100000392762,0.00016816000061226077
66,66,67,8.000002708286047e-07,1.080000220099464e-06,3.919999289792031e-06,0.0002196199995523784,1.5400000484078193e-05,0.000630499999897438,0.00010199999996984843,0.00019544000024325213
67,67,68,6.599999323952943e-07,1.0600000678095966e-06,3.9800004742573945e-06,0.00021786000033898744,1.4419999934034423e-05,0.000647420000314014,0.00011010000016540291,0.00019362000020919367
68,68,69,6.799997208872811e-07,1.0399991879239678e-06,3.9599995943717655e-06,0.00021779999951832,1.486000001023058e-05,0.0006539200003317093,0.00010701999926823192,0.00017554000005475244
69,69,70,7.600003300467507e-07,1.0000003385357559e-06,4.259999695932493e-06,0.00022276000017882325,1.505999971413985e-05,0.0006606399998418057,0.00010818000009749085,0.00018486000008124392
70,70,71,7.599996024509892e-07,1.0200004908256232e-06,4.179999814368785e-06,0.00022495999983220826,1.5120000534807334e-05,0.0007048800001939527,0.00011192000056325922,0.000184300000910298
71,71,72,9.599996701581406e-07,1.0399999155197293e-06,4.339999577496201e-06,0.00023931999967317095,1.5239999993355011e-05,0.0008256599998276215,0.00020033999971929005,0.000202260000151
72,72,73,6.999995093792677e-07,1.0999989171978087e-06,4.380000609671697e-06,0.00021104000006744167,1.5580000399495473e-05,0.0007407199998851865,0.00011991999999736435,0.0001937000000907574
73,73,74,7.200003892648966e-07,1.1199983418919146e-06,4.439998883754015e-06,0.0002376400003413437,1.5880000137258322e-05,0.0008370000006834744,0.0001264999998966232,0.00019790000005741605
74,74,75,8.599996363045649e-07,1.0999989171978087e-06,4.479999915929511e-06,0.00021714000031352042,1.5859999621170573e-05,0.0007662399995751912,0.00011451999962446279,0.00019650000031106173
75,75,76,8.80000152392313e-07,1.1000010999850929e-06,4.559999797493219e-06,0.00022234000025491695,1.5999999595806007e-05,0.0007965599997987737,0.00012377999992168042,0.00020848000021942423
76,76,77,8.599996363045649e-07,1.0599993402138353e-06,4.620000981958583e-06,0.00022840000019641596,1.6319999849656598e-05,0.0008273200000985527,0.0001235799998539733,0.00022276000017882325
77,77,78,7.200003892648966e-07,1.0600000678095966e-06,4.3599997297860685e-06,0.00022701999951095785,1.6420000611105935e-05,0.0008407399996940512,0.00012596000015037135,0.00022632000000157856
78,78,79,7.200000254670157e-07,1.080000220099464e-06,4.400000034365803e-06,0.00024995999956445303,1.6600000162725336e-05,0.0008272999995824649,0.00012556000001495704,0.00022083999938331543
79,79,80,6.60000296193175e-07,1.1000003723893314e-06,4.600000102072954e-06,0.0002535799994802801,1.6840000171214342e-05,0.0009030000004713656,0.0001600799998414004,0.00023858000022300985
80,80,81,9.000003046821804e-07,1.09999964479357e-06,4.780000017490238e-06,0.00029665999973076395,1.8199999612988903e-05,0.0009200799999234732,0.00014798000011069236,0.00023266000061994413
81,81,82,7.599999662488698e-07,1.0999989171978087e-06,4.919999628327787e-06,0.000265179999769316,1.731999982439447e-05,0.0009145600004558217,0.00013370000015129336,0.00023193999950308353
